#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel ID,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,UCq-Fj5jknLsUf-MWSy4_brA,T-Series ,265000000,255178577381,20959
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes ,175000000,181065509035,1168
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,UCpEhnqL0y41EpW2TvWAHD7Q,SET India ,172000000,163629092458,137686
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.1%,United States,,33.3M,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie ,111000000,29294820920,4763
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.4%,United States,Celebrity Pets,30M,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast ,258000000,48831619270,794
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,-,United States,,29.2M,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya ,115000000,100248662107,881
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show ,122000000,102886734424,1207
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company ,107000000,66301493117,11013
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE ,101000000,84409351110,76165
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki ,117000000,90096448860,710
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.4%,South Korea,,24.6M,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK ,93700000,35660551307,596
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,UCyoXW-Dse7fURq30EWl_CUA,Goldmines ,96700000,28814022418,8426
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber ,72900000,32308818102,249
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB ,91900000,114296929771,84910
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.5%,,,20.6M,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV ,78000000,22738385172,2496
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS ,74800000,33914801499,1809
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla ,67100000,38091839804,2800
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV ,80200000,88977006059,175153
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane ,68400000,29283513930,8582
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV ,72400000,70335277157,148406
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs ,91100000,50765634768,787
22,Dude Perfect @UCRijo3ddMTht_IHyNSNXpNQ,58.6M,-,United States,,17.6M,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect ,60200000,17330546710,434
23,Movieclips @UC3gNmTGu-TTbFPpfSs5kNkg,58.5M,-,United States,,17.6M,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips ,61300000,61982336672,40539
24,Pinkfong Baby Shark - Kids' Songs & Stories @UCcdwLMPsaU2ezNSJU1nFoBQ,56.9M,-,,,17.1M,UCcdwLMPsaU2ezNSJU1nFoBQ,Pinkfong Baby Shark - Kids' Songs & Stories ,80700000,48681782151,3228
25,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official ,65800000,38422346224,5714
26,Marshmello @UCEdvpU2pFRCVqU6yIPyTpMQ,55.8M,-,United States,,16.7M,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello ,57100000,15744870591,480
27,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M,bhojpuriwave,Wave Music ,N/A,N/A,N/A
28,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India ,60100000,31624455587,4631
29,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak ,63900000,30728850768,359577
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52.9M,-,,,15.9M,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil ,64000000,59939992338,1453
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52.3M,-,,,15.7M,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran ,54600000,32111406086,471
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52.2M,-,,,15.7M,UC9CoOnJkIBMdeijd9qYoT_g,Ariana Grande ,54100000,25946933033,187
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51.7M,1%,,,15.5M,UCfM3zsQsOnfWNUppiycmBuw,EminemMusic ,59700000,29734945627,161
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49.9M,-,,,15M,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar ,67500000,33846744871,27883
35,LooLoo Kids - Nursery Rhymes and Children's Songs @UC4NALVCmcmL5ntpV0thoH6w,49.4M,-,United States,,14.8M,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs ,56700000,34452207733,831
36,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,UCbTLwN10NoCU4WDzLf1JMOA,YRF ,59700000,40766565932,4073
37,Taylor Swift @UCqECaJ8Gagnn7YCbPEzWH6g,47.2M,0.4%,,,14.2M,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift ,59000000,35082147279,267
38,Fernanfloo @fernanfloo,47.1M,-,El Salvador,,14.1M,fernanfloo,Fernanfloo ,N/A,N/A,N/A
39,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi ,62000000,35847429083,668
40,Billie Eilish @UCiGm_E4ZwYSHV3bcW1pnSeQ,46.6M,0.7%,United States,,14M,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish ,49800000,15236814282,115
41,JuegaGerman @UCYiGq8XF7YQD00x7wAd62Zg,46.4M,0.4%,Chile,,13.9M,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman ,50000000,15355096770,2158
42,Badabun @UCYWOjHweP2V-8kGKmmAmQJQ,45.7M,-,Mexico,,13.7M,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun ,47400000,19735052411,21538
43,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,Brazil,,13.3M,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto ,46300000,17608819069,4839
44,Get Movies @UClZkHt2kNIgyrTTPnSQV3SA,44.3M,-,Russia,,13.3M,UClZkHt2kNIgyrTTPnSQV3SA,Get Movies ,50600000,32733666550,3496
45,whinderssonnunes @UC3KQ5GWANYF8lChqjZpXsQw,43.7M,-,,,13.1M,UC3KQ5GWANYF8lChqjZpXsQw,whinderssonnunes ,44600000,4500335974,762
46,SonyMusicIndiaVEVO @UC3MLnJtqc_phABBriLRhtgQ,43.6M,-,,Music,13.1M,UC3MLnJtqc_phABBriLRhtgQ,SonyMusicIndiaVEVO ,50200000,30729819136,3741
47,BRIGHT SIDE @UC4rlAVgAK0SGk-yTfe48Qpw,43.4M,-,,Fitness News,13M,UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE ,44600000,11114993876,7807
48,Katy Perry @UCYvmuw-JtVrTZQ-7Y4kd63Q,43.1M,-,United States,,12.9M,UCYvmuw-JtVrTZQ-7Y4kd63Q,Katy Perry ,45000000,26531731903,142
49,Bad Bunny @UCmBA_wu8xGg1OfOkfW13Q0Q,43.1M,-,Puerto Rico,,12.9M,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny ,47800000,34663597623,155
50,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,Brazil,,12.9M,UCj0O6W8yDuLg3iraAXKgCrQ,Você Sabia? ,45400000,8099157061,1673
51,Alan Walker @UCJrOtniJ0-NWz37R30urifQ,42.4M,-,Norway,,12.7M,UCJrOtniJ0-NWz37R30urifQ,Alan Walker ,45400000,14116507137,569
52,Like Nastya Show @UCS94J1s6-qc8v7btCdS2pNg,41.7M,-,United States,,12.5M,UCS94J1s6-qc8v7btCdS2pNg,Like Nastya Show ,43100000,20381699525,703
53,CarryMinati @carryminati,41.6M,9.2%,India,Video Gaming,12.5M,carryminati,CarryMinati ,N/A,N/A,N/A
54,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,Philippines,,12.5M,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment ,47800000,54689407403,223626
55,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo ,53200000,24589716792,12368
56,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records ,43900000,28735581223,11463
57,elrubiusOMG @UCXazgXDIYyWH-yXLAkcrFxw,40.4M,1.7%,,,12.1M,UCXazgXDIYyWH-yXLAkcrFxw,elrubiusOMG ,40300000,7442165117,701
58,Little Baby Bum - Nursery Rhymes & Kids Songs @UCKAqou7V9FAWXpZd9xtOg3Q,40M,-,United States,,12M,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs ,41000000,40511633246,2671
59,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M,UCJg19noZp7-BYIGvypu_cow,Voot Kids ,47500000,22750074410,5748
60,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39.1M,-,Russia,,11.7M,UCRv76wLBC73jiP7LX4C3l8Q,Маша и Медведь ,48200000,40215190250,1745
61,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38.6M,-,Brazil,,11.6M,UC_gV70G_Y51LTa3qhu8KiEA,LUCCAS NETO - LUCCAS TOON ,43500000,24997994161,2709
62,Luisito Comunica @UCECJDeK0MNapZbpaOzxrUPA,38.5M,0.1%,,,11.6M,UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica ,42600000,9656530297,1354
63,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music ,45000000,19403278601,4599
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38.3M,-,United States,,11.5M,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow ,38100000,23126475651,16833
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38.3M,-,United States,,11.5M,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors ,55500000,64124030515,1224
66,Kimberly Loaiza @UCQZfFRohQ7UX-0CdXl-6pwQ,38.1M,0.9%,Mexico,,11.4M,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza ,44900000,6524939114,316
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial ,40800000,38265341364,82658
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.1%,United States,,11.3M,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION ,40200000,10962568846,135
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs ,41700000,50463103786,787
70,Shakira @UCYLNGLIzMhRTi6ZOLjAPSmw,37.1M,-,,,11.1M,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira ,46100000,30046527865,358
71,GR6 EXPLODE @UCNUQK9mQoqi4yNXw2_Rj6SA,37.1M,-,,,11.1M,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE ,40700000,27951836355,3338
72,Daddy Yankee @UC9TO_oo4c_LrOiKNaY6aysA,37M,-,United States,Music,11.1M,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee ,38900000,24371574205,557
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,United Arab Emirates,,10.8M,UCwHE1kM1CPJd_pI9FQ0-4dg,shfa ,42600000,24746131074,1110
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,UC8f7MkX4MFOOJ2SerXLInCA,ช่อง one31 ,40100000,28001612078,141663
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,UCQ7x25F6YXY9DvGeHFxLhRQ,shfa2 - شفا ,44100000,27275937598,1750
76,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune ,41900000,18766374760,3753
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks ,40700000,7849833433,215439
78,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.4%,Puerto Rico,Celebrity Music,10.6M,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna ,36800000,24706604646,233
79,YouTube @youtube.com,35.1M,-,United States,,10.5M,youtube.com,YouTube ,N/A,N/A,N/A
80,Masha and The Bear @UCu59yAFE8fM0sVNTipR4edw,35.1M,-,United States,,10.5M,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear ,47800000,28267618590,1474
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.2%,,,10.4M,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars ,37900000,21028777080,100
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.2%,,,10.4M,UC5tuYcCdiKuF5Y2ZonuarwA,Jkk Entertainment ,37800000,16885785501,235
83,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,Brazil,,10.1M,UCKe6w0exI94U-RzqAyoY1VA,Maria Clara & JP ,41600000,27271048985,812
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab ,36500000,23464167887,8442
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,India,Video Gaming,10.1M,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming ,41400000,4148090727,496
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin ,34300000,23998732376,200
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS ,42200000,16368792358,374011
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777 ,34100000,15767016181,7949
89,Markiplier @UC7_YxT-KID8kRbqZo7MyscQ,33.5M,0.4%,United States,,10.1M,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier ,36600000,21413961111,5587
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,India,,9.9M,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory ,33900000,10577231393,193
91,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,United Kingdom,Music,9.9M,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds ,33700000,11086692170,1643
92,Geet MP3 @UClZF7OsrECe3t_ADrjZEh_Q,32.7M,-,,Music,9.8M,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3 ,35200000,13657031611,739
93,Ryan's World @UChGJGhZ9SOOHvBB0Y4DOO_w,32.7M,-,,Music,9.8M,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World ,37000000,57550110900,2788
94,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,UCRm96I5kmb_iGFofE5N691w,Bollywood Classics ,40200000,26211077997,2052
95,Sony PAL @UCw7xjxzbMwgBSmbeYwqYRMg,32.6M,-,,,9.8M,UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL ,42700000,32519204855,28083
96,Like Nastya ESP @UCpEJRZdSpdVZ8vh63T9I2KQ,32.5M,-,,,9.8M,UCpEJRZdSpdVZ8vh63T9I2KQ,Like Nastya ESP ,40100000,19846663071,841
97,La Granja de Zenón @UCwpcLKMwiuPg4aqImpGk6Ew,32.3M,-,Argentina,,9.7M,UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de Zenón ,39600000,30876542989,725
98,Alfredo Larin @alfredolarin,32.3M,-,El Salvador,,9.7M,alfredolarin,Alfredo Larin ,N/A,N/A,N/A
99,Mikecrack @UCqJ5zFEED1hWs0KNQCQuYdQ,32.2M,0.6%,Spain,,9.7M,UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack ,49500000,18386299949,2024
100,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music ,40700000,19345523663,8601
